Feature	Gain
cliente_edad_ratioavg6	3344.074741125107
Master_fechaalta_lag1	3337.979409456253
Visa_msaldopesos_ratiomax6	3336.3979061841965
mttarjeta_visa_debitos_automaticos_max6	3324.310947537422
Visa_fultimo_cierre_delta2	3312.295482158661
Visa_cconsumos_max6	3310.615691423416
mrentabilidad_annual_avg6	3305.9584900140762
mpayroll_sobre_edad_lag2	3305.4140223264694
mtransferencias_emitidas_ratioavg6	3300.4476121664047
ccomisiones_mantenimiento_tend6	3296.46713578701
mcomisiones_avg6	3287.490540266037
Visa_delinquency_ratiomax6	3281.8402265310287
ccaja_ahorro_max6	3276.961292028427
mcomisiones_delta2	3274.708675503731
mpayroll_avg6	3272.341091156006
mrentabilidad_ratioavg6	3264.233129262924
mpasivos_margen_tend6	3257.097287774086
ccomisiones_otras_ratiomax6	3257.010211467743
chomebanking_transacciones_delta2	3254.7215198278427
ctarjeta_visa_debitos_automaticos_ratiomax6	3252.3107780218124
Visa_Fvencimiento_tend6	3248.6056818962097
Master_msaldopesos	3242.3348803520203
mcaja_ahorro_dolares_min6	3239.0428347587585
mttarjeta_visa_debitos_automaticos_delta2	3237.8629829883575
Master_mfinanciacion_limite_min6	3212.135689496994
cliente_antiguedad_avg6	3206.002324461937
Visa_fechaalta_lag1	3173.363055706024
internet_ratioavg6	3153.867299556732
chomebanking_transacciones_delta1	3147.564263343811
Visa_msaldototal_tend6	3141.8758251667023
Visa_mpagospesos_lag1	3139.8108348846436
Visa_mconsumospesos_tend6	3128.333542585373
cdescubierto_preacordado_min6	3118.335269212723
mrentabilidad_tend6	3102.7994124889374
Visa_fechaalta_max6	3084.173283100128
Visa_mconsumospesos_max6	3081.758120059967
cmobile_app_trx_delta2	3066.732652068138
Visa_fechaalta_tend6	3060.781454563141
Visa_mconsumospesos_ratioavg6	3060.10931289196
Visa_fultimo_cierre_delta1	3055.9220118522644
mtransferencias_recibidas_tend6	3053.7297241687775
ctarjeta_master_transacciones	3020.079934120178
mcomisiones_ratioavg6	3019.9338853359222
mplazo_fijo_dolares_ratioavg6	3018.9068863391876
Visa_cconsumos	3016.2291402816772
Visa_msaldototal_ratiomax6	3015.5884556770325
ccomisiones_otras_max6	3000.438724040985
ctransferencias_recibidas_tend6	2995.2971823215485
mcaja_ahorro_dolares_lag2	2980.511622905731
ctarjeta_debito_transacciones	2980.4313114881516
Visa_Finiciomora_ratiomax6	2973.343747615814
rf_014_008	2968.673864364624
ccuenta_debitos_automaticos_ratiomax6	2964.7029671669006
mrentabilidad_avg6	2963.6569250822067
ctarjeta_debito_avg6	2950.9686884880066
mprestamos_personales_lag2	2943.3442282676697
Master_Fvencimiento_tend6	2919.0972522497177
mtarjeta_visa_consumo_ratioavg6	2902.0420328378677
Master_mpagominimo_tend6	2890.8454914093018
Visa_delinquency_ratioavg6	2885.5504862070084
mcomisiones_mantenimiento_min6	2885.160236597061
Visa_mpagominimo_ratiomax6	2880.4790757894516
cliente_edad_tend6	2870.649559736252
mpasivos_margen_delta1	2869.8357524871826
mttarjeta_visa_debitos_automaticos_lag2	2867.615607738495
mcomisiones_mantenimiento_lag2	2867.481071472168
Master_mlimitecompra	2854.056080341339
ccomisiones_otras_avg6	2852.011106967926
Visa_mpagospesos_avg6	2848.863729953766
mcaja_ahorro_dolares_avg6	2843.012697696686
Master_fechaalta_tend6	2837.7520147562027
ccheques_emitidos_rechazados_avg6	2836.2155067920685
internet	2832.918485879898
Visa_mconsumospesos_min6	2828.731136441231
mcomisiones_tend6	2824.9798069000244
Visa_fultimo_cierre_ratioavg6	2807.665520310402
mrentabilidad_delta1	2803.450741648674
Visa_mlimitecompra_min6	2802.8769879341125
mtransferencias_emitidas_max6	2798.7751071453094
mtransferencias_emitidas_ratiomax6	2791.53043115139
mrentabilidad_min6	2790.6879284381866
cplazo_fijo	2782.4866992235184
ccallcenter_transacciones_ratiomax6	2778.897955417633
mcomisiones_otras_lag2	2771.05845785141
ctransferencias_recibidas_max6	2766.420089483261
mcaja_ahorro_dolares_max6	2764.316829442978
mpayroll_sobre_edad_avg6	2763.873736143112
mcomisiones_lag1	2763.5651297569275
cdescubierto_preacordado_delta1	2744.0990493297577
Visa_mconsumospesos_avg6	2741.2187354564667
mcomisiones_otras_ratiomax6	2701.0073833465576
Visa_fultimo_cierre_min6	2700.8563101291656
ctarjeta_debito_transacciones_tend6	2681.234786748886
mcaja_ahorro_dolares_delta2	2675.3560421466827
Visa_cconsumos_ratiomax6	2663.1760292053223
cdescubierto_preacordado_delta2	2649.8832099437714
Master_Finiciomora_delta1	2648.7036032676697
Visa_msaldopesos_tend6	2640.527994990349
ccuenta_debitos_automaticos_tend6	2637.4873836040497
internet_lag1	2637.3219319581985
mpasivos_margen_avg6	2629.0703724622726
mprestamos_personales_lag1	2626.184148669243
cmobile_app_trx_min6	2625.254706144333
ctarjeta_master	2619.8739211559296
mpayroll_delta1	2615.806591272354
ctransferencias_emitidas_ratioavg6	2610.9887471199036
Master_mfinanciacion_limite_lag2	2608.7928807735443
ctransferencias_emitidas_max6	2608.4494054317474
Visa_cconsumos_lag1	2599.0533287525177
mcomisiones_otras	2598.600346803665
ctarjeta_debito_tend6	2595.6659984588623
cprestamos_personales_tend6	2593.748003721237
kmes_lag1	2591.193820476532
Master_fechaalta_avg6	2588.346633076668
mtransferencias_emitidas	2586.110647201538
mrentabilidad_annual_min6	2584.128280878067
ctarjeta_visa_transacciones_min6	2580.5866026878357
mtransferencias_emitidas_tend6	2578.652522802353
chomebanking_transacciones_min6	2569.2897861003876
ctrx_quarter_lag2	2559.478062391281
Master_fechaalta_min6	2547.880031108856
cprestamos_personales_avg6	2543.2937319278717
mcaja_ahorro_dolares_tend6	2534.9555720090866
mcuentas_saldo_avg6	2530.778457760811
Visa_mpagospesos_lag2	2530.5587828159332
mcuenta_debitos_automaticos_tend6	2525.0379794836044
Visa_mfinanciacion_limite_lag1	2522.1408545970917
Visa_msaldototal_max6	2519.947599172592
